texto,categoria
"buenas tardes, hay un poste de luz que quedo torcido en medio de la vereda de San Martin despues q un auto lo choco, es un peligro para los peatones. Espero puedan solucionarlo pronto, gracias.",Vialidad y Pavimentación
"hace varias semanas que las areas verdes de Poblacion Los Heroes no se les pasa la maquina, el pasto esta altisimo y se esconden roedores. Muchas gracias por su tiempo",Áreas Verdes
los vecinos del sector poniente llevamos 20 dias pidiendo que manden a limpiar el canal que esta lleno de basura y da mal olor. Espero una pronta solucion.,Aseo y Ornato
"en la Villa El Mirador la plaza esta abandonada, el pasto crecido, los arbustos sin podar y da la sensacion de que a nadie le importa.",Áreas Verdes
"llevamos un mes esperando que repongan el pavimento de calle Los Castanos, quedo puro hoyo despues de las obras del alcantarillado. Porfavor tomen cartas en el asunto",Vialidad y Pavimentación
"estimados, el restaurant del sector oriente boto sus desechos a la calle de nuevo, ademas dudo que tenga los permisos sanitarios al dia. Saludos",Permisos y Patentes Comerciales
"los tachos de basura de la plaza de Poblacion Nueva Amanecer estan quebrados y el pasto lleno de vidrios, es peligroso para los ninos que andan descalzos. Ojala le puedan poner atencion a esto!!",Áreas Verdes
"en la plaza de Villa Las Nieves hay ratones porque la gente deja bolsas de basura en la reja del parque, esto es un peligro para los ninos. Ojala le puedan poner atencion a esto",Aseo y Ornato
quiero reclamar xq no hay camaras de seguridad frente al almacen de la esquina y ahi es donde mas robos se producen segun los vecinos. Quedo atento a una respuesta.,Seguridad Ciudadana
"los tachos de basura de la plaza de Villa El Retiro estan quebrados y el pasto lleno de vidrios, es peligroso para los ninos que andan descalzos. Gracias de antemano.",Áreas Verdes
"Buenos dias, pedimos hace 10 dias que planten mas arboles en calle Freire porque en verano hace un calor insoportable sin sombra. Quedo atento a una respuesta",Áreas Verdes
"hay pandillas de jovenes que se juntan a hacer destrozos en la plaza del sector oriente, rompen bancas y asustan a los vecinos. Saludos.",Seguridad Ciudadana
"el alumbrado publico de la cancha de Villa Esperanza no sirve, los ninos que juegan de noche no ven nada y se pueden accidentar. Espero una pronta solucion",Alumbrado Público
"el pavimento de calle O'Higgins esta totalmente destrozado, cada vez q llueve se llena de agua y no se puede pasar. Gracias de antemano.",Vialidad y Pavimentación
"en la Villa Las Nieves varios postes no tienen ampolleta hace varias semanas, de noche es imposible ver por donde uno camina. Muchas gracias por su tiempo",Alumbrado Público
"Buen dia, el pasto de la plaza de Poblacion El Bosque no lo cortan hace 20 dias, ya esta enorme y se esconden ahi los perros vagos. Ojala le puedan poner atencion a esto",Áreas Verdes
"Buenos dias, quiero denunciar que cerca del paradero la gente bota escombros de construccion ilegalmente y ya se hizo un basural enorme. Saludos.",Aseo y Ornato
"Hola municipio, hay un colchon y varios muebles viejos botados hace casi 2 semanas frente a la iglesia, porfavor manden a retirarlos. Espero puedan solucionarlo pronto, gracias.",Aseo y Ornato
"quiero reclamar xq cortaron mal los arboles de la plaza del centro y quedaron puros palos pelados, se ve horrible. Quedo atento a una respuesta",Áreas Verdes
"quiero denunciar un taller mecanico en calle Santa Rosa que funciona en la via publica sin patente comercial, dejan aceite tirado en la calle. Espero una pronta solucion!!",Permisos y Patentes Comerciales
"hay comercio ambulante instalado hace 3 dias frente al almacen de la esquina sin ningun permiso, ocupan toda la vereda y no dejan pasar a la gente. Espero una pronta solucion.",Permisos y Patentes Comerciales
"Sr. alcalde, el poste de calle Los Aromos quedo colgando despues de un choque hace varios meses y nadie lo ha venido a reparar, es peligroso. Gracias de antemano.",Alumbrado Público
"los juegos infantiles de la plaza Poblacion Vista Hermosa estan todos oxidados y rotos, mi hija se corto con un fierro el otro dia.",Áreas Verdes
"quiero denunciar que en calle O'Higgins hay una casa que parece un punto de venta de drogas, entra y sale gente a toda hora. Gracias de antemano.",Seguridad Ciudadana
"quiero denunciar que en calle Errazuriz hay una casa que parece un punto de venta de drogas, entra y sale gente a toda hora. Espero una pronta solucion",Seguridad Ciudadana
"el sitio eriazo de calle Las Acacias se ha convertido en un foco de delincuencia, de noche se juntan a robar y a consumir. Espero puedan solucionarlo pronto, gracias.",Seguridad Ciudadana
"buenos dias, quiero denunciar que en la esquina la gente bota escombros de construccion ilegalmente y ya se hizo un basural enorme. Porfavor tomen cartas en el asunto.",Aseo y Ornato
"el pavimento de calle El Roble esta totalmente destrozado, cada vez q llueve se llena de agua y no se puede pasar. Espero una pronta solucion.",Vialidad y Pavimentación
"el juego de resbalin de la plaza del sector norte esta oxidado y con el fierro filoso, ya casi corta a un nino. Saludos",Áreas Verdes
"Hola municipio, hace casi 2 semanas que no funciona ningun poste de luz en calle Independencia frente al almacen de la esquina, de noche queda todo oscuro y da miedo caminar.",Alumbrado Público
"quiero reclamar xq hay un almacen cerca de la cancha que vende alcohol a menores y no se si tiene la patente correspondiente. Espero puedan solucionarlo pronto, gracias.",Permisos y Patentes Comerciales
"el sitio eriazo de calle Las Encinas se ha convertido en un foco de delincuencia, de noche se juntan a robar y a consumir. Gracias de antemano.",Seguridad Ciudadana
"en la esquina de Los Castanos instalaron un carrito de comida sin ningun permiso, ademas deja toda la vereda sucia. Porfavor tomen cartas en el asunto!!",Permisos y Patentes Comerciales
"sr. alcalde, el pavimento de la Villa Los Pinos tiene grietas enormes por todos lados, cuando llueve se hacen unas pozas gigantes. Espero una pronta solucion",Vialidad y Pavimentación
"hace un mes que un grupo de encapuchados anda rondando por calle Los Naranjos, varios vecinos ya llamaron a carabineros pero no llegan a tiempo. Espero puedan solucionarlo pronto, gracias!!",Seguridad Ciudadana
"Buenas tardes, hay un poste de luz que quedo torcido en medio de la vereda de Las Rosas despues q un auto lo choco, es un peligro para los peatones. Muchas gracias por su tiempo.",Vialidad y Pavimentación
quiero reclamar xq la luminaria de la plaza del pasaje de atras parpadea toda la noche y no deja dormir a los vecinos de al lado. Porfavor tomen cartas en el asunto!!,Alumbrado Público
"buenos dias, llevamos 20 dias pidiendo mas seguridad para Poblacion Los Heroes, los delincuentes ya perdieron el miedo y roban de dia. Espero puedan solucionarlo pronto, gracias.",Seguridad Ciudadana
"el foco de la esquina de mi casa en Los Copihues esta quemado hace bastante tiempo, ya avise antes y nadie ha venido a cambiarlo. Ya no sabemos a quien mas recurrir",Alumbrado Público
los camiones recolectores estan pasando en la madrugada y hacen un escandalo terrible ademas dejan tarros de basura botados en la calle San Martin. Ojala le puedan poner atencion a esto.,Aseo y Ornato
"los hoyos de calle Las Torres estan cada vez mas grandes, se ve el fierro de las cañerias, es un peligro para las motos.",Vialidad y Pavimentación
"quiero denunciar que en calle Manuel Rodriguez hay una casa que parece un punto de venta de drogas, entra y sale gente a toda hora. Espero una pronta solucion.",Seguridad Ciudadana
"Buen dia, hay un colchon y varios muebles viejos botados hace bastante tiempo en la esquina, porfavor manden a retirarlos. Ya no sabemos a quien mas recurrir.",Aseo y Ornato
los camiones recolectores estan pasando en la madrugada y hacen un escandalo terrible ademas dejan tarros de basura botados en la calle Freire. Ya no sabemos a quien mas recurrir.,Aseo y Ornato
"llevamos 10 dias sin luz en todo el pasaje de calle Los Naranjos, ya reclamamos por telefono y no ha pasado nada. Espero una pronta solucion",Alumbrado Público
"la plaza del sector oriente quedo destruida despues de una fiesta del fin de semana, rompieron bancas y plantas, hay q reponer todo. Ya no sabemos a quien mas recurrir.",Áreas Verdes
"Hola, el sistema de riego de la plaza de calle Independencia lleva mas de 20 dias malo y las plantas se estan secando todas. Espero puedan solucionarlo pronto, gracias!!",Áreas Verdes
"asaltaron a un vecino a mano armada en la esquina de Los Alerces hace casi 2 semanas, necesitamos mas presencia policial urgente. Porfavor tomen cartas en el asunto",Seguridad Ciudadana
"Buenas tardes, en la Poblacion San Rafael hay un microbasural enorme que se esta formando en el sitio eriazo, la gente sigue tirando basura y nadie hace nada. Quedo atento a una respuesta.",Aseo y Ornato
"se cayo una rama enorme de un arbol en la plaza del centro y quedo bloqueando la entrada, es peligroso para los ninos que juegan ahi!!",Áreas Verdes
"Sr. alcalde, el pavimento de la Villa Sol Naciente tiene grietas enormes por todos lados, cuando llueve se hacen unas pozas gigantes. Ya no sabemos a quien mas recurrir.",Vialidad y Pavimentación
"hay comercio ambulante instalado hace mas de un mes en la esquina sin ningun permiso, ocupan toda la vereda y no dejan pasar a la gente. Saludos.",Permisos y Patentes Comerciales
"quiero denunciar un taller mecanico en calle Errazuriz que funciona en la via publica sin patente comercial, dejan aceite tirado en la calle. Ojala le puedan poner atencion a esto.",Permisos y Patentes Comerciales
necesitamos que poden los arboles de calle Las Encinas porque las ramas ya estan tocando los cables de luz. Gracias de antemano.,Áreas Verdes
"los tachos de basura de la plaza de Villa Los Pinos estan quebrados y el pasto lleno de vidrios, es peligroso para los ninos que andan descalzos. Muchas gracias por su tiempo!!",Áreas Verdes
"hace una semana que un grupo de encapuchados anda rondando por calle Las Camelias, varios vecinos ya llamaron a carabineros pero no llegan a tiempo. Porfavor tomen cartas en el asunto",Seguridad Ciudadana
los postes de luz de la villa de al lado se apagan como a las 11 de la noche y quedamos completamente a oscuras hasta el otro dia. Muchas gracias por su tiempo.,Alumbrado Público
"quiero denunciar que en calle El Roble hay una casa que parece un punto de venta de drogas, entra y sale gente a toda hora. Espero puedan solucionarlo pronto, gracias",Seguridad Ciudadana
"hola municipio, el local que abrieron en calle Santa Rosa pone musica hasta muy tarde y creo q no tiene patente para funcionar asi. Muchas gracias por su tiempo",Permisos y Patentes Comerciales
"sr. alcalde, necesitamos urgente mas iluminacion por el sector poniente porque en la noche no se ve nada y da temor para las senoras que llegan solas. Ojala le puedan poner atencion a esto.",Alumbrado Público
"Buen dia, necesitamos urgente mas iluminacion frente a la iglesia porque en la noche no se ve nada y da temor para las senoras que llegan solas. Porfavor tomen cartas en el asunto!!",Alumbrado Público
"hace varios meses que un grupo de encapuchados anda rondando por calle Simon Bolivar, varios vecinos ya llamaron a carabineros pero no llegan a tiempo. Porfavor tomen cartas en el asunto.",Seguridad Ciudadana
hace bastante tiempo que pedimos un lomo de toro en calle San Martin porq los autos pasan a exceso de velocidad y casi atropellan a un nino. Gracias de antemano.,Vialidad y Pavimentación
"llevamos una semana sin luz en todo el pasaje de calle Los Aromos, ya reclamamos por telefono y no ha pasado nada. Gracias de antemano!!",Alumbrado Público
"hace una semana que un vecino instalo una feria improvisada todos los fines de semana en Poblacion Vista Hermosa sin autorizacion municipal. Espero puedan solucionarlo pronto, gracias!!",Permisos y Patentes Comerciales
"el juego de resbalin de la plaza del centro esta oxidado y con el fierro filoso, ya casi corta a un nino. Gracias de antemano.",Áreas Verdes
hace varios meses que reclamamos por el negocio de comida de Villa Los Pinos que funciona sin resolucion sanitaria y bota olores fuertes. Ya no sabemos a quien mas recurrir.,Permisos y Patentes Comerciales
"hace casi 2 semanas que un grupo de encapuchados anda rondando por calle Las Rosas, varios vecinos ya llamaron a carabineros pero no llegan a tiempo. Ya no sabemos a quien mas recurrir.",Seguridad Ciudadana
"hay un arbol en la plaza del sector norte que esta a punto de caerse, las raices ya levantaron toda la vereda de alrededor. Ya no sabemos a quien mas recurrir.",Áreas Verdes
"Estimados, hay un poste de luz que quedo torcido en medio de la vereda de Yungay despues q un auto lo choco, es un peligro para los peatones. Porfavor tomen cartas en el asunto.",Vialidad y Pavimentación
"estimados, el kiosco del centro crecio y ahora ocupa media vereda con mesas, sin permiso municipal para eso segun tengo entendido. Porfavor tomen cartas en el asunto",Permisos y Patentes Comerciales
"asaltaron a un vecino a mano armada en la esquina de Las Dalias hace un mes, necesitamos mas presencia policial urgente. Espero puedan solucionarlo pronto, gracias.",Seguridad Ciudadana
los vecinos de la esquina llevamos una semana pidiendo que manden a limpiar el canal que esta lleno de basura y da mal olor. Muchas gracias por su tiempo,Aseo y Ornato
"los hoyos de calle Las Acacias estan cada vez mas grandes, se ve el fierro de las canerias, es un peligro para las motos. Ya no sabemos a quien mas recurrir.",Vialidad y Pavimentación
"llevamos una semana esperando que repongan el pavimento de calle Vicuna Mackenna, quedo puro hoyo despues de las obras del alcantarillado. Porfavor tomen cartas en el asunto",Vialidad y Pavimentación
"quiero reclamar xq las luces de la plaza de Villa Los Pinos nunca las prenden aunque este oscuro, parece que el sensor esta malo.",Alumbrado Público
"hay un arbol en la plaza del barrio alto que esta a punto de caerse, las raices ya levantaron toda la vereda de alrededor. Ojala le puedan poner atencion a esto.",Áreas Verdes
"Buenos dias, el local que abrieron en calle Los Naranjos pone musica hasta muy tarde y creo q no tiene patente para funcionar asi. Muchas gracias por su tiempo!!",Permisos y Patentes Comerciales
los camiones recolectores estan pasando en la madrugada y hacen un escandalo terrible ademas dejan tarros de basura botados en la calle Las Rosas.,Aseo y Ornato
"hay un olor a podrido terrible en la esquina, creo que es por la basura que se acumula en el sitio baldio de al lado. Ojala le puedan poner atencion a esto",Aseo y Ornato
"Estimados, reclamo pq las luminarias nuevas que pusieron en calle Simon Bolivar quedaron mal instaladas y se apagan solas cada rato. Gracias de antemano",Alumbrado Público
"quiero reclamar por el aseo de calle Errazuriz, esta lleno de colillas, papeles y basura, y el barrendero no pasa hace tiempo. Saludos",Aseo y Ornato
"en la plaza de Villa Portales hay ratones porque la gente deja bolsas de basura en la reja del parque, esto es un peligro para los ninos. Espero una pronta solucion",Aseo y Ornato
"hay un galpon en Villa Los Pinos que funciona como bodega sin permiso de funcionamiento, ademas genera mucho ruido de camiones en la noche. Espero puedan solucionarlo pronto, gracias",Permisos y Patentes Comerciales
"en la Villa El Retiro varios postes no tienen ampolleta hace una semana, de noche es imposible ver por donde uno camina. Espero puedan solucionarlo pronto, gracias",Alumbrado Público
hace 10 dias que reclamamos por el negocio de comida de Poblacion El Progreso que funciona sin resolucion sanitaria y bota olores fuertes. Espero una pronta solucion,Permisos y Patentes Comerciales
"hay un cable colgando de un poste cerca de la cancha que parece que es de la luz de la calle, da miedo que le pase algo a alguien. Saludos.",Alumbrado Público
"hace varios meses que un grupo de encapuchados anda rondando por calle Balmaceda, varios vecinos ya llamaron a carabineros pero no llegan a tiempo. Gracias de antemano!!",Seguridad Ciudadana
"hay un arbol en la plaza de la esquina que esta a punto de caerse, las raices ya levantaron toda la vereda de alrededor. Muchas gracias por su tiempo.",Áreas Verdes
"el restaurant de la cuadra de la plaza boto sus desechos a la calle de nuevo, ademas dudo que tenga los permisos sanitarios al dia. Saludos",Permisos y Patentes Comerciales
"el poste que esta frente a mi casa en calle Las Torres tiene la luz encendida todo el dia y de noche se apaga, esta al reves. Quedo atento a una respuesta.",Alumbrado Público
"en Villa El Retiro hay varios postes sin luz y de noche los delincuentes aprovechan la oscuridad para hacer de las suyas. Espero puedan solucionarlo pronto, gracias.",Alumbrado Público
"el alumbrado publico de la cancha de Villa El Mirador no sirve, los ninos que juegan de noche no ven nada y se pueden accidentar. Porfavor tomen cartas en el asunto",Alumbrado Público
"buenas tardes, hace varios meses que no funciona ningun poste de luz en calle Padre Hurtado por el sector poniente, de noche queda todo oscuro y da miedo caminar. Muchas gracias por su tiempo.",Alumbrado Público
el local nocturno de calle Los Almendros sigue funcionando pasada la hora permitida y los vecinos no podemos dormir por el bullicio. Espero una pronta solucion.,Permisos y Patentes Comerciales
"el poste que esta frente a mi casa en calle Los Copihues tiene la luz encendida todo el dia y de noche se apaga, esta al reves. Espero puedan solucionarlo pronto, gracias",Alumbrado Público
"sr. alcalde, el pasto y la maleza de la vereda en calle Independencia ya casi tapan la calzada, ademas hay bastante basura acumulada. Ojala le puedan poner atencion a esto.",Aseo y Ornato
"en la esquina de Los Aromos instalaron un carrito de comida sin ningun permiso, ademas deja toda la vereda sucia. Quedo atento a una respuesta",Permisos y Patentes Comerciales
"asaltaron a un vecino a mano armada en la esquina de Las Camelias hace un mes, necesitamos mas presencia policial urgente. Espero una pronta solucion!!",Seguridad Ciudadana
"buen dia, quiero saber si el negocio nuevo del sector sur cuenta con patente de alcoholes, porque vende cerveza a toda hora incluso de madrugada. Espero una pronta solucion.",Permisos y Patentes Comerciales
"hay un poste de luz que quedo torcido en medio de la vereda de Las Rosas despues q un auto lo choco, es un peligro para los peatones. Ya no sabemos a quien mas recurrir",Vialidad y Pavimentación
los camiones recolectores estan pasando en la madrugada y hacen un escandalo terrible ademas dejan tarros de basura botados en la calle El Roble. Porfavor tomen cartas en el asunto!!,Aseo y Ornato
quiero reclamar xq no hay camaras de seguridad en la esquina y ahi es donde mas robos se producen segun los vecinos. Gracias de antemano.,Seguridad Ciudadana
"Hola municipio, necesitamos urgente mas iluminacion en la esquina porque en la noche no se ve nada y da temor para las senoras que llegan solas. Ojala le puedan poner atencion a esto.",Alumbrado Público
"quiero denunciar un taller mecanico en calle Los Jazmines que funciona en la via publica sin patente comercial, dejan aceite tirado en la calle. Gracias de antemano",Permisos y Patentes Comerciales
"estimados, el camion de la basura no pasa hace casi 2 semanas en calle Santa Rosa cerca de la plaza, ya se estan juntando bolsas y hay un olor terrible. Gracias de antemano.",Aseo y Ornato
"hace tiempo que pedimos mas alumbrado en el pasaje de Poblacion El Bosque, esta todo oscuro y varias vecinas tienen miedo de volver de noche. Muchas gracias por su tiempo!!",Alumbrado Público
hicieron una rayado (graffiti) horrible en el muro de la sede social de Poblacion 18 de Septiembre y ya lleva un par de semanas sin que lo limpien. Porfavor tomen cartas en el asunto.,Aseo y Ornato
"los tachos de basura de la plaza de Poblacion Cordillera estan quebrados y el pasto lleno de vidrios, es peligroso para los ninos que andan descalzos. Porfavor tomen cartas en el asunto.",Áreas Verdes
"hace tiempo que pedimos mas alumbrado en el pasaje de Villa Esperanza, esta todo oscuro y varias vecinas tienen miedo de volver de noche.",Alumbrado Público
"quiero reclamar por el aseo de calle Las Camelias, esta lleno de colillas, papeles y basura, y el barrendero no pasa hace tiempo. Espero puedan solucionarlo pronto, gracias.",Aseo y Ornato
reclamo xq el semaforo peatonal del sector poniente no funciona hace varios meses y es my peligroso cruzar ahi.,Vialidad y Pavimentación
"buenos dias, llevamos varias semanas sin luz en todo el pasaje de calle Pedro de Valdivia, ya reclamamos por telefono y no ha pasado nada. Espero una pronta solucion.",Alumbrado Público
los vecinos del sector poniente estamos organizando rondas propias porque los robos no paran y la municipalidad no ha respondido. Gracias de antemano.,Seguridad Ciudadana
"asaltaron a un vecino a mano armada en la esquina de Los Alamos hace bastante tiempo, necesitamos mas presencia policial urgente. Porfavor tomen cartas en el asunto",Seguridad Ciudadana
quiero reclamar xq los contenedores de basura de mi calle estan siempre rebalsados y los perros vagos rompen las bolsas y dejan la tierra tirada!!,Aseo y Ornato
"los tachos de basura de la plaza de Poblacion Cordillera estan quebrados y el pasto lleno de vidrios, es peligroso para los ninos que andan descalzos. Saludos.",Áreas Verdes
"estimados, vengo a reclamar xq el camion recolector paso y dejo la mitad de la basura tirada en la calle Los Naranjos, quedo un desastre. Porfavor tomen cartas en el asunto.",Aseo y Ornato
los postes de luz del sector oriente se apagan como a las 11 de la noche y quedamos completamente a oscuras hasta el otro dia. Espero una pronta solucion.,Alumbrado Público
en la esquina el agua de lluvia se acumula en la calle y forma una laguna enorme porque no hay rejillas de desague.,Vialidad y Pavimentación
"el poste que esta frente a mi casa en calle Las Torres tiene la luz encendida todo el dia y de noche se apaga, esta al reves. Espero puedan solucionarlo pronto, gracias.",Alumbrado Público
"las papeleras de calle Los Copihues estan todas rotas y no las han cambiado, por eso la gente tira la basura directo al suelo. Porfavor tomen cartas en el asunto",Aseo y Ornato
"en la plaza de Poblacion Nueva Amanecer los columpios estan quebrados hace tiempo y los ninos igual los usan, alguien se puede lesionar. Gracias de antemano.",Áreas Verdes
"los basureros publicos de la plaza de Villa Portales estan quebrados y llenos de basura desbordada, alguien tiene q ir a limpiar urgente. Quedo atento a una respuesta",Aseo y Ornato
"hace varias semanas que no riegan las areas verdes de calle El Roble, todo el pasto se esta secando y los arboles nuevos se van a morir. Muchas gracias por su tiempo.",Áreas Verdes
los postes de luz de la esquina se apagan como a las 11 de la noche y quedamos completamente a oscuras hasta el otro dia. Porfavor tomen cartas en el asunto,Alumbrado Público
necesitamos urgente una camara de seguridad en la esquina de Colon porque ahi asaltaron a dos personas esta semana!!,Seguridad Ciudadana
"Hola municipio, pedimos hace una semana que planten mas arboles en calle Las Camelias porque en verano hace un calor insoportable sin sombra. Espero una pronta solucion.",Áreas Verdes
"hay un galpon en Poblacion Nueva Amanecer que funciona como bodega sin permiso de funcionamiento, ademas genera mucho ruido de camiones en la noche. Muchas gracias por su tiempo",Permisos y Patentes Comerciales
los postes de luz del sector norte se apagan como a las 11 de la noche y quedamos completamente a oscuras hasta el otro dia. Muchas gracias por su tiempo.,Alumbrado Público
la vereda del sector poniente esta toda levantada por las raices de un arbol y varias personas se han caido ahi. Espero una pronta solucion.,Vialidad y Pavimentación
la vereda de la esquina esta toda levantada por las raices de un arbol y varias personas se han caido ahi. Gracias de antemano.,Vialidad y Pavimentación
"Buenos dias, en la plaza de Poblacion 18 de Septiembre se juntan a beber y a pelear todas las noches, los vecinos tenemos miedo de salir. Quedo atento a una respuesta",Seguridad Ciudadana
los postes de luz de la cuadra de la plaza se apagan como a las 11 de la noche y quedamos completamente a oscuras hasta el otro dia. Ojala le puedan poner atencion a esto!!,Alumbrado Público
"estimados, pedimos hace una semana que planten mas arboles en calle Arturo Prat porque en verano hace un calor insoportable sin sombra. Muchas gracias por su tiempo",Áreas Verdes
"hay un cable colgando de un poste frente al almacen de la esquina que parece que es de la luz de la calle, da miedo que le pase algo a alguien. Gracias de antemano.",Alumbrado Público
hace 20 dias que pedimos un lomo de toro en calle Las Camelias porq los autos pasan a exceso de velocidad y casi atropellan a un nino. Gracias de antemano.,Vialidad y Pavimentación
"llevamos bastante tiempo pidiendo mas seguridad para Villa Los Alerces, los delincuentes ya perdieron el miedo y roban de dia!!",Seguridad Ciudadana
"Buen dia, el bar que esta cerca de mi casa en Villa El Trebol hace un ruido tremendo todos los fines de semana hasta el amanecer. Saludos.",Permisos y Patentes Comerciales
"hace varias semanas que un grupo de encapuchados anda rondando por calle Pedro de Valdivia, varios vecinos ya llamaron a carabineros pero no llegan a tiempo. Gracias de antemano",Seguridad Ciudadana
"hay comercio ambulante instalado hace una semana cerca de la cancha sin ningun permiso, ocupan toda la vereda y no dejan pasar a la gente.",Permisos y Patentes Comerciales
"hace tiempo que pedimos mas alumbrado en el pasaje de Poblacion El Bosque, esta todo oscuro y varias vecinas tienen miedo de volver de noche. Ojala le puedan poner atencion a esto!!",Alumbrado Público
"el sitio eriazo de calle Los Copihues se ha convertido en un foco de delincuencia, de noche se juntan a robar y a consumir. Porfavor tomen cartas en el asunto.",Seguridad Ciudadana
"Buen dia, quiero saber si el negocio nuevo del centro cuenta con patente de alcoholes, porque vende cerveza a toda hora incluso de madrugada. Porfavor tomen cartas en el asunto!!",Permisos y Patentes Comerciales
hicieron una rayado (graffiti) horrible en el muro de la sede social de Villa Las Nieves y ya lleva bastante tiempo sin que lo limpien. Ya no sabemos a quien mas recurrir.,Aseo y Ornato
"Buenas tardes, llevamos 20 dias sin luz en todo el pasaje de calle Las Camelias, ya reclamamos por telefono y no ha pasado nada. Saludos!!",Alumbrado Público
el bebedero de la plaza de calle Arturo Prat no funciona hace tiempo y con el calor los ninos necesitan tomar agua. Porfavor tomen cartas en el asunto,Áreas Verdes
"Buenas tardes, el semaforo de la esquina de Pedro de Valdivia con la principal lleva 3 dias malo y esta generando tacos y accidentes. Espero puedan solucionarlo pronto, gracias",Vialidad y Pavimentación
"buenas tardes, hay un hoyo enorme en calle Los Jazmines cerca de la cancha que ya provoco que un auto se pinchara, es peligroso porfavor arreglenlo. Ya no sabemos a quien mas recurrir.",Vialidad y Pavimentación
"los juegos infantiles de la plaza Villa El Trebol estan todos oxidados y rotos, mi hija se corto con un fierro el otro dia. Espero puedan solucionarlo pronto, gracias.",Áreas Verdes
"los tachos de basura de la plaza de Villa El Mirador estan quebrados y el pasto lleno de vidrios, es peligroso para los ninos que andan descalzos. Muchas gracias por su tiempo.",Áreas Verdes
"sr. alcalde, anoche entraron a robar a una casa de Poblacion Los Heroes, ya es la tercera esta semana y nadie hace rondas por aca. Saludos.",Seguridad Ciudadana
"hola, el poste de calle Manuel Rodriguez quedo colgando despues de un choque hace 3 dias y nadie lo ha venido a reparar, es peligroso. Ya no sabemos a quien mas recurrir.",Alumbrado Público
"los tachos de basura de la plaza de Villa Las Nieves estan quebrados y el pasto lleno de vidrios, es peligroso para los ninos que andan descalzos. Saludos.",Áreas Verdes
"Buenos dias, vengo a reclamar xq el camion recolector paso y dejo la mitad de la basura tirada en la calle Simon Bolivar, quedo un desastre. Porfavor tomen cartas en el asunto.",Aseo y Ornato
hicieron una rayado (graffiti) horrible en el muro de la sede social de Poblacion 18 de Septiembre y ya lleva 20 dias sin que lo limpien. Muchas gracias por su tiempo,Aseo y Ornato
"Sr. alcalde, el restaurant de la cuadra de la plaza boto sus desechos a la calle de nuevo, ademas dudo que tenga los permisos sanitarios al dia. Porfavor tomen cartas en el asunto!!",Permisos y Patentes Comerciales
"la plaza de la villa de al lado quedo destruida despues de una fiesta del fin de semana, rompieron bancas y plantas, hay q reponer todo.",Áreas Verdes
